episode,total_reward
1047.0,-75.47247084640392
1048.0,-67.67835780355514
1049.0,-52.94220582012959
1050.0,-28.57811392629515
1051.0,23.0778127917295
1052.0,-0.5671870063328547
1053.0,17.874531602832644
1054.0,52.061351530407485
1055.0,22.366445882585456
1056.0,100.49750738764737
1057.0,-9.372918478089698
1058.0,-5.20039096492223
1059.0,-4.995583335050769
1060.0,-66.01979548017924
1061.0,-93.23039837839605
1062.0,-6.090807159142818
1063.0,22.852272085308744
1064.0,-53.83216388606793
1065.0,-55.122958304261466
1066.0,-55.455391640511515
1067.0,-130.7775818107283
1068.0,-129.24324342453153
1069.0,-102.84121609557599
1070.0,-96.62979755455655
1071.0,-9.688717463113859
1072.0,-65.33739399698752
1073.0,-7.48336856671955
